Timestamp,Actual,Naive,Persistence_Enhanced_LSTM,Chronos_Bolt_Tiny
2024-01-30 00:00:00+00:00,42946.0,43305.0,43281.62226051092,43634.99609375
2024-01-31 00:00:00+00:00,42558.0,42946.0,42892.64392328262,43283.51171875
2024-02-01 00:00:00+00:00,43071.0,42558.0,42475.93669116497,42862.5625
2024-02-02 00:00:00+00:00,43183.0,43071.0,43017.907082140446,43548.140625
2024-02-03 00:00:00+00:00,42994.0,43183.0,43129.97236025333,43644.5625
2024-02-04 00:00:00+00:00,42570.0,42994.0,42921.0825817585,43258.4453125
2024-02-05 00:00:00+00:00,42659.0,42570.0,42464.35661137104,42982.234375
2024-02-06 00:00:00+00:00,43092.0,42659.0,42555.22073858976,43197.1171875
2024-02-07 00:00:00+00:00,44346.0,43092.0,43010.591920137405,43677.4453125
2024-02-08 00:00:00+00:00,45300.0,44346.0,44336.77249252796,44836.8984375
2024-02-09 00:00:00+00:00,47161.0,45300.0,45339.84253406525,45802.31640625
2024-02-10 00:00:00+00:00,47770.0,47161.0,47307.62252426148,47715.62890625
2024-02-11 00:00:00+00:00,48313.0,47770.0,47930.258214473724,48624.375
2024-02-12 00:00:00+00:00,49937.0,48313.0,48482.50943660736,49110.04296875
2024-02-13 00:00:00+00:00,49720.0,49937.0,50186.053748726845,51080.1953125
2024-02-14 00:00:00+00:00,51844.0,49720.0,49912.25688457489,50269.03125
2024-02-15 00:00:00+00:00,51942.0,51844.0,52146.59918308258,52599.2890625
2024-02-16 00:00:00+00:00,52161.0,51942.0,52200.04411268234,52727.3203125
2024-02-17 00:00:00+00:00,51664.0,52161.0,52388.73080635071,52630.85546875
2024-02-18 00:00:00+00:00,52130.0,51664.0,51812.9020023346,52022.18359375
2024-02-19 00:00:00+00:00,51789.0,52130.0,52271.27150654793,52505.58984375
2024-02-20 00:00:00+00:00,52275.0,51789.0,51867.536018013954,51754.0859375
2024-02-21 00:00:00+00:00,51843.0,52275.0,52352.65901684761,52487.65625
2024-02-22 00:00:00+00:00,51253.0,51843.0,51859.47014558315,52012.1640625
2024-02-23 00:00:00+00:00,50743.0,51253.0,51205.16305691004,51199.8515625
2024-02-24 00:00:00+00:00,51562.0,50743.0,50643.01546776295,50586.1640625
2024-02-25 00:00:00+00:00,51722.0,51562.0,51499.15030550957,51734.49609375
2024-02-26 00:00:00+00:00,54524.0,51722.0,51651.023050904274,51894.171875
2024-02-27 00:00:00+00:00,57068.0,54524.0,54619.73507261276,54852.42578125
2024-02-28 00:00:00+00:00,62512.0,57068.0,57305.05858325958,57122.91796875
2024-02-29 00:00:00+00:00,61161.0,62512.0,63094.948472976685,63087.28125
2024-03-01 00:00:00+00:00,62444.0,61161.0,61570.80295264721,61600.546875
2024-03-02 00:00:00+00:00,62042.0,62444.0,62890.99160003662,62658.26953125
2024-03-03 00:00:00+00:00,63142.0,62042.0,62392.096239089966,62479.92578125
2024-03-04 00:00:00+00:00,68359.0,63142.0,63508.95428395271,63615.68359375
2024-03-05 00:00:00+00:00,63796.0,68359.0,69035.44265067577,69627.0625
2024-03-06 00:00:00+00:00,66120.0,63796.0,64044.9293422699,64534.8359375
2024-03-07 00:00:00+00:00,66941.0,66120.0,66479.02260303497,66594.625
2024-03-08 00:00:00+00:00,68285.0,66941.0,67283.38941025734,67826.140625
2024-03-09 00:00:00+00:00,68463.0,68285.0,68652.22098827362,69128.609375
2024-03-10 00:00:00+00:00,69026.0,68463.0,68770.76735901833,68848.234375
2024-03-11 00:00:00+00:00,72118.0,69026.0,69306.96351265907,69127.0078125
2024-03-12 00:00:00+00:00,71473.0,72118.0,72549.81692409515,73273.6328125
2024-03-13 00:00:00+00:00,73121.0,71473.0,71780.08669018745,72552.890625
2024-03-14 00:00:00+00:00,71371.0,73121.0,73478.0361328125,74747.4140625
2024-03-15 00:00:00+00:00,69516.0,71371.0,71536.41421198845,72880.453125
2024-03-16 00:00:00+00:00,65248.0,69516.0,69507.81249046326,70229.890625
2024-03-17 00:00:00+00:00,68352.0,65248.0,64937.77166938782,65699.546875
2024-03-18 00:00:00+00:00,67613.0,68352.0,68225.03485107422,69244.140625
2024-03-19 00:00:00+00:00,61897.0,67613.0,67412.57761073112,68642.203125
2024-03-20 00:00:00+00:00,67872.0,61897.0,61349.04686337709,61866.890625
2024-03-21 00:00:00+00:00,65485.0,67872.0,67699.34268379211,68753.0625
2024-03-22 00:00:00+00:00,63807.0,65485.0,65150.44805049896,65845.1171875
2024-03-23 00:00:00+00:00,64001.0,63807.0,63387.96413254738,63556.84375
2024-03-24 00:00:00+00:00,67188.0,64001.0,63612.84848845005,63802.88671875
2024-03-25 00:00:00+00:00,69898.0,67188.0,67007.40328788757,67048.859375
2024-03-26 00:00:00+00:00,69997.0,69898.0,69886.57198870182,69698.34375
2024-03-27 00:00:00+00:00,69421.0,69997.0,69978.95963931084,70048.9375
2024-03-28 00:00:00+00:00,70803.0,69421.0,69353.76879739761,69385.203125
2024-03-29 00:00:00+00:00,69903.0,70803.0,70813.75303816795,71364.3984375
2024-03-30 00:00:00+00:00,69613.0,69903.0,69833.03540182114,70543.1875
2024-03-31 00:00:00+00:00,71285.0,69613.0,69512.49666941166,70212.9609375
2024-04-01 00:00:00+00:00,69699.0,71285.0,71277.5983864069,71892.65625
2024-04-02 00:00:00+00:00,65469.0,69699.0,69567.01937037706,70437.8515625
2024-04-03 00:00:00+00:00,65988.0,65469.0,65069.9942740202,65398.94140625
2024-04-04 00:00:00+00:00,68538.0,65988.0,65632.93902182579,66001.7734375
2024-04-05 00:00:00+00:00,67857.0,68538.0,68343.79039335251,68839.5
2024-04-06 00:00:00+00:00,68917.0,67857.0,67614.41343820095,68010.0859375
2024-04-07 00:00:00+00:00,69358.0,68917.0,68743.91486406326,68785.484375
2024-04-08 00:00:00+00:00,71613.0,69358.0,69208.25611662865,69222.609375
2024-04-09 00:00:00+00:00,69135.0,71613.0,71601.6714874506,71463.625
2024-04-10 00:00:00+00:00,70630.0,69135.0,68947.6740476489,69430.0703125
2024-04-11 00:00:00+00:00,70015.0,70630.0,70536.0945045948,70971.3125
2024-04-12 00:00:00+00:00,67150.0,70015.0,69868.46992731094,70868.6796875
2024-04-13 00:00:00+00:00,64054.0,67150.0,66820.7903265953,67533.296875
2024-04-14 00:00:00+00:00,65749.0,64054.0,63554.81894767285,64171.8203125
2024-04-15 00:00:00+00:00,63438.0,65749.0,65372.09146976471,65646.8125
2024-04-16 00:00:00+00:00,63830.0,63438.0,62938.85520350933,63051.6875
2024-04-17 00:00:00+00:00,61278.0,63830.0,63381.369561553,63248.52734375
2024-04-18 00:00:00+00:00,63515.0,61278.0,60708.09673511982,60453.1484375
2024-04-19 00:00:00+00:00,63821.0,63515.0,63111.730182766914,62807.58984375
2024-04-20 00:00:00+00:00,64990.0,63821.0,63454.62645196915,63274.875
2024-04-21 00:00:00+00:00,64950.0,64990.0,64717.1439063549,64837.203125
2024-04-22 00:00:00+00:00,66855.0,64950.0,64689.494892954826,64673.7890625
2024-04-23 00:00:00+00:00,66421.0,66855.0,66725.85041105747,66684.125
2024-04-24 00:00:00+00:00,64259.0,66421.0,66263.34865659475,66453.53125
2024-04-25 00:00:00+00:00,64493.0,64259.0,63971.28026866913,64265.7109375
2024-04-26 00:00:00+00:00,63745.0,64493.0,64232.75178045034,64701.453125
2024-04-27 00:00:00+00:00,63429.0,63745.0,63446.33285433054,64173.4453125
2024-04-28 00:00:00+00:00,63098.0,63429.0,63122.38066828251,63883.5859375
2024-04-29 00:00:00+00:00,63832.0,63098.0,62783.254965782166,63353.19921875
2024-04-30 00:00:00+00:00,60632.0,63832.0,63573.91308689117,63921.75390625
2024-05-01 00:00:00+00:00,58256.0,60632.0,60191.19582033157,60244.875
2024-05-02 00:00:00+00:00,59099.0,58256.0,57708.833996772766,57738.3671875
2024-05-03 00:00:00+00:00,62915.0,59099.0,58634.01659041643,58454.140625
2024-05-04 00:00:00+00:00,63899.0,62915.0,62699.25349116325,62558.10546875
2024-05-05 00:00:00+00:00,64021.0,63899.0,63749.208534538746,63094.37890625
2024-05-06 00:00:00+00:00,63164.0,64021.0,63884.50350558758,63616.8515625
2024-05-07 00:00:00+00:00,62320.0,63164.0,62976.675238609314,63422.47265625
2024-05-08 00:00:00+00:00,61181.0,62320.0,62086.18321418762,62278.109375
2024-05-09 00:00:00+00:00,63075.0,61181.0,60884.89389878512,60973.62890625
2024-05-10 00:00:00+00:00,60793.0,63075.0,62906.0941144824,63219.2734375
2024-05-11 00:00:00+00:00,60816.0,60793.0,60482.19041305781,61355.1953125
2024-05-12 00:00:00+00:00,61462.0,60816.0,60521.69668865204,61141.875
2024-05-13 00:00:00+00:00,62934.0,61462.0,61216.88052248955,61552.734375
2024-05-14 00:00:00+00:00,61543.0,62934.0,62785.94551670551,62774.6640625
2024-05-15 00:00:00+00:00,66242.0,61543.0,61306.29158264399,61880.81640625
2024-05-16 00:00:00+00:00,65252.0,66242.0,66309.84811782837,65777.875
2024-05-17 00:00:00+00:00,67053.0,65252.0,65230.03310775757,64869.53515625
2024-05-18 00:00:00+00:00,66930.0,67053.0,67138.53673660755,66589.53125
2024-05-19 00:00:00+00:00,66275.0,66930.0,66980.01833081245,66179.9296875
2024-05-20 00:00:00+00:00,71401.0,66275.0,66259.4239756465,65921.0390625
2024-05-21 00:00:00+00:00,70136.0,71401.0,71705.53026032448,70275.1875
2024-05-22 00:00:00+00:00,69118.0,70136.0,70299.64716625214,69405.9140625
2024-05-23 00:00:00+00:00,67945.0,69118.0,69178.51918387413,68399.1875
2024-05-24 00:00:00+00:00,68548.0,67945.0,67898.6374592781,67743.921875
2024-05-25 00:00:00+00:00,69275.0,68548.0,68517.409771204,68321.8515625
2024-05-26 00:00:00+00:00,68489.0,69275.0,69263.90920579433,69021.375
2024-05-27 00:00:00+00:00,69392.0,68489.0,68400.43123245239,68671.3515625
2024-05-28 00:00:00+00:00,68327.0,69392.0,69342.51587295532,69764.34375
2024-05-29 00:00:00+00:00,67564.0,68327.0,68186.68241345882,68933.2421875
2024-05-30 00:00:00+00:00,68338.0,67564.0,67363.78326630592,68070.359375
2024-05-31 00:00:00+00:00,67477.0,68338.0,68179.19979929924,68463.4765625
2024-06-01 00:00:00+00:00,67723.0,67477.0,67254.09991830587,67830.2734375
2024-06-02 00:00:00+00:00,67752.0,67723.0,67512.29727351665,67716.7421875
2024-06-03 00:00:00+00:00,68801.0,67752.0,67537.62100696564,67794.53125
2024-06-04 00:00:00+00:00,70564.0,68801.0,68649.07547050714,68666.8046875
