Timestamp,Persistence_Enhanced_LSTM
2025-03-01 00:00:00+00:00,83492.56199258566
2025-03-02 00:00:00+00:00,85358.010910213
2025-03-03 00:00:00+00:00,94137.79862612486
2025-03-04 00:00:00+00:00,85531.35901451111
2025-03-05 00:00:00+00:00,86732.10926771164
2025-03-06 00:00:00+00:00,90334.28274273872
2025-03-07 00:00:00+00:00,89609.83235871792
2025-03-08 00:00:00+00:00,86276.91120916605
2025-03-09 00:00:00+00:00,85705.87967967987
2025-03-10 00:00:00+00:00,79932.30012869835
2025-03-11 00:00:00+00:00,77722.49141138792
2025-03-12 00:00:00+00:00,82325.14492213726
2025-03-13 00:00:00+00:00,83148.43054056168
2025-03-14 00:00:00+00:00,80491.12803393602
2025-03-15 00:00:00+00:00,83599.9478623271
2025-03-16 00:00:00+00:00,84013.628267169
2025-03-17 00:00:00+00:00,82132.56613522768
2025-03-18 00:00:00+00:00,83752.33984720707
2025-03-19 00:00:00+00:00,82338.95899325609
2025-03-20 00:00:00+00:00,86767.2412519455
2025-03-21 00:00:00+00:00,83876.44026207924
2025-03-22 00:00:00+00:00,83784.7651913166
2025-03-23 00:00:00+00:00,83535.77614688873
2025-03-24 00:00:00+00:00,85942.13793945312
2025-03-25 00:00:00+00:00,87449.97509717941
2025-03-26 00:00:00+00:00,87353.10963368416
2025-03-27 00:00:00+00:00,86783.5568831563
2025-03-28 00:00:00+00:00,87096.7587672472
2025-03-29 00:00:00+00:00,84065.14655041695
2025-03-30 00:00:00+00:00,82190.13012599945
2025-03-31 00:00:00+00:00,81935.94419503212
2025-04-01 00:00:00+00:00,82135.1496899128
2025-04-02 00:00:00+00:00,84935.38320064545
2025-04-03 00:00:00+00:00,82103.46593523026
2025-04-04 00:00:00+00:00,82788.54047846794
2025-04-05 00:00:00+00:00,83558.1075348258
2025-04-06 00:00:00+00:00,83198.38595336676
2025-04-07 00:00:00+00:00,77736.22432672977
2025-04-08 00:00:00+00:00,78603.34513318539
2025-04-09 00:00:00+00:00,75580.16266846657
2025-04-10 00:00:00+00:00,82344.21020925045
2025-04-11 00:00:00+00:00,79105.91027587652
2025-04-12 00:00:00+00:00,83209.65478467941
2025-04-13 00:00:00+00:00,85217.57157063484
2025-04-14 00:00:00+00:00,83546.28959655762
2025-04-15 00:00:00+00:00,84472.44911813736
2025-04-16 00:00:00+00:00,83508.33476948738
2025-04-17 00:00:00+00:00,83885.39440488815
2025-04-18 00:00:00+00:00,84841.08560192585
2025-04-19 00:00:00+00:00,84308.3048222065
2025-04-20 00:00:00+00:00,84938.02372008562
2025-04-21 00:00:00+00:00,85060.39103055
2025-04-22 00:00:00+00:00,87500.54057270288
2025-04-23 00:00:00+00:00,93844.18770301342
2025-04-24 00:00:00+00:00,94047.18176722527
2025-04-25 00:00:00+00:00,94292.69317746162
2025-04-26 00:00:00+00:00,95000.18637347221
2025-04-27 00:00:00+00:00,94870.82133364677
2025-04-28 00:00:00+00:00,93862.47157216072
2025-04-29 00:00:00+00:00,95170.25001716614
2025-04-30 00:00:00+00:00,94309.91829931736
2025-05-01 00:00:00+00:00,94156.55827653408
2025-05-02 00:00:00+00:00,96622.95464098454
2025-05-03 00:00:00+00:00,96988.93027603626
2025-05-04 00:00:00+00:00,95870.063590765
2025-05-05 00:00:00+00:00,94134.61676335335
2025-05-06 00:00:00+00:00,94547.69144654274
2025-05-07 00:00:00+00:00,96746.98643934727
2025-05-08 00:00:00+00:00,96969.74338018894
2025-05-09 00:00:00+00:00,103556.92447757721
2025-05-10 00:00:00+00:00,103200.88358795643
2025-05-11 00:00:00+00:00,105092.19368290901
2025-05-12 00:00:00+00:00,104301.82820546627
2025-05-13 00:00:00+00:00,102827.28506994247
2025-05-14 00:00:00+00:00,104210.40178179741
2025-05-15 00:00:00+00:00,103515.20859402418
2025-05-16 00:00:00+00:00,103753.94434207678
2025-05-17 00:00:00+00:00,103408.83134579659
2025-05-18 00:00:00+00:00,103000.23690521717
2025-05-19 00:00:00+00:00,106555.22473335266
2025-05-20 00:00:00+00:00,105553.01323390007
2025-05-21 00:00:00+00:00,106834.93747889996
2025-05-22 00:00:00+00:00,109806.68428039551
2025-05-23 00:00:00+00:00,111950.29834628105
2025-05-24 00:00:00+00:00,107191.20840626955
2025-05-25 00:00:00+00:00,107668.15476107597
2025-05-26 00:00:00+00:00,108985.09976577759
2025-05-27 00:00:00+00:00,109375.49789261818
2025-05-28 00:00:00+00:00,108825.01875519753
2025-05-29 00:00:00+00:00,107557.04946917295
2025-05-30 00:00:00+00:00,105171.05450165272
2025-05-31 00:00:00+00:00,103533.1339277029
2025-06-01 00:00:00+00:00,104188.73087346554
2025-06-02 00:00:00+00:00,105316.41610890627
2025-06-03 00:00:00+00:00,105531.1968383193
2025-06-04 00:00:00+00:00,105057.32533800602
2025-06-05 00:00:00+00:00,104312.44624167681
2025-06-06 00:00:00+00:00,100946.53029692173
2025-06-07 00:00:00+00:00,103977.79785299301
2025-06-08 00:00:00+00:00,105283.16020435095
2025-06-09 00:00:00+00:00,105472.40217590332
2025-06-10 00:00:00+00:00,110275.59870958328
2025-06-11 00:00:00+00:00,110235.05674409866
2025-06-12 00:00:00+00:00,108500.26449465752
2025-06-13 00:00:00+00:00,105358.2710404396
2025-06-14 00:00:00+00:00,105772.35085618496
2025-06-15 00:00:00+00:00,105074.27162837982
2025-06-16 00:00:00+00:00,105239.50450819731
2025-06-17 00:00:00+00:00,106527.72152000666
2025-06-18 00:00:00+00:00,104139.96787309647
2025-06-19 00:00:00+00:00,104511.09779262543
2025-06-20 00:00:00+00:00,104268.57324314117
